IATA,ICAO,Airport
SFJ,BGSF,Kangerlussuaq Airport
SFO,KSFO,San Francisco Intl Airport
SFQ,LTCH,Sanliurfa Airport
SFS,RPLB,Subic Bay Intl Airport
SFT,ESNS,Skelleftea
SGA,OASN,Sheghnan
SGC,USRR,Surgut Airport
SGD,EKSB,Soenderborg Airport
SGE,EDGS,Siegerlandflughafen
SGF,KSGF,Springfield-Branson Regional Airport
SGN,VVTS,Tan Son Nhat Intl Airport
SGO,YSGE,Saint George Airport
SGS,RPMN,Sanga-Sanga Airport
SGU,KSGU,St. George Municipal Airport
SGX,HTSO,Songea
SGZ,VTSH,Songkhla Airport
SHA,ZSSS,Shanghai Hongqiao Airport
SHB,RJCN,Nakashibetsu Airport
SHE,ZYTX,Shenyang Taoxian Intl Airport
SHI,RORS,Shimojishima Airport
SHJ,OMSJ,Sharjah Intl
SHK,FXSH,Sehonghong
SHL,VEBI,Shillong Airport
SHM,RJBD,Nanki-Shirahama Airport
SHO,RKND,Sokcho Aero
SHP,ZBSH,Qinhuangdao Shanhaiguan Airport
SHQ,YSPT,Southport Airport
SHR,KSHR,Sheridan County Airport
SHS,ZHSS,Shashi Airport
SHT,YSHT,Shepparton Airport
SHV,KSHV,Shreveport Regional Airport
SHY,HTSY,Shinyanga
SIA,RPNS,Siargao Airport
SIB,FCBS,Sibiti
SID,GVAC,Amilcar Cabral
SIE,LPSI,Sines Airport
SIF,VNSI,Simara
SIG,TJIG,Isla Grande Airport
SII,GMMF,Sidi Ifni
SIJ,BISI,Siglufjordur Airport
SIN,WSSS,Singapore Changi Intl Airport
SIO,YSMI,Smithton Airport
SIP,UKFF,Simferopol Airport
SIR,LSGS,Sion Airport
SIS,FASS,Sishen
SIT,PASI,Sitka Rocky Gutierrez Airport
SJA,SPJN,San Juan De Marcona
SJB,SLJO,San Joaquin
SJC,KSJC,Norman Y. Mineta San Jos
SJD,MMSD,Los Cabos Intl Airport
SJE,SKSJ,Jorge E Gonzalez
SJI,RPUH,McGuire Field (San Jose Airport)
SJJ,LQSA,Sarajevo Intl Airport
SJM,MDSJ,San Juan de la Maguana Airport
SJO,MROC,Juan Santamaria Intl Airport
SJP,SBSR,Sao Jose do Rio Preto Airport
SJT,KSJT,San Angelo Regional Airport (Mathis Field)
SJU,TJSJ,Luis Munoz Marin Intl Airport
SJV,SLJV,San Javier
SJW,ZBSJ,Shijiazhuang Daguocun Intl Airport
SJY,EFIL,Seinajoki Airport
SJZ,LPSJ,Sao Jorge Airport
SKD,UTSS,Samarkand
SKE,ENSN,Skien Airport
SKG,LGTS,Thessaloniki Intl Airport (Makedonia)
SKH,VNSK,Surkhet
SKN,ENSK,Stokmarknes Airport
SKO,DNSO,Siddiq Abubakar Iii Intl
SKP,LWSK,Skopje Airport
SKP,LWSK,Skopje
SKR,HASK,Shakiso
SKU,LGSY,Skyros Island National Airport
SKV,HESC,St Catherine Intl Airport
SKZ,OPSK,Sukkur Airport
SLA,SASA,El Aybal Airport
SLC,KSLC,Salt Lake City Intl Airport
SLD,LZSL,Sliac Airport
SLI,MDLI,La Isabela Intl Airport
SLI,FLSW,Solwezi
SLL,OOSA,Salalah
SLM,LESA,Salamanca Airport (Mil./Civil)
SLP,MMSP,Ponciano Arriaga Intl Airport
SLU,TLPC,George F.L. Charles
SLV,VISM,Shimla Airport
SLW,MMIO,Plan de Guadalupe Intl Airport
SLZ,SBSL,Marechal Cunha Machado Intl Airport
SMA,LPAZ,Santa Maria Airport
SMB,SCSB,Franco Bianco
SMF,KSMF,Sacramento Intl Airport
SMG,SPRN,Santa Maria De Fatima
SMI,LGSM,Samos Intl Airport (Aristarchos)
SML,MYLS,Stella Maris Airport
SMR,SKSM,Simon Bolivar
SMS,FMMS,Sainte-Marie
SMV,LSZS,Samedan Airport
SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field)
SMY,GOTS,Simenti
SNA,KSNA,John Wayne Airport
SNB,YSNB,Snake Bay Airport
SNC,SESA,Gen Ulpiano Paez
SNE,GVSN,Preguica
SNF,SVSP,Sub Teniente Nestor Arias
SNG,SLSI,Cap. Av. Juan Cochamanidis Sa*
SNI,GLGE,Sinoe
SNM,SLSM,San Ignacio De Moxos
SNN,EINN,Shannon Airport
SNO,VTUI,Sakon Nakhon Airport
SNR,LFRZ,Saint-Nazaire - Montoir Airport
SNU,MUSC,Abel Santa Maria Airport
SNV,SVSE,Santa Elena De Uairen
SNW,VYTD,Mazin
SNX,MDSB,Sabana de la Mar Airport
SOB,LHSM,S
SOC,WRSQ,Adisumarmo Intl Airport
SOE,FCOS,Souanke
SOF,LBSF,Sofia Airport
SOG,ENSG,Sogndal Airport
SOJ,ENSR,Sorkjosen Airport
SOK,FXSM,Semonkong
SOM,SVST,San Tome
SON,NVSS,Santo-Pekoa
SOO,ESNY,Soderhamn
SOT,EFSO,Sodankyla Airport
SOU,EGHI,Southampton Airport
SOX,SKSO,Alberto Lieras Camargo
SOZ,LFKS,Solenzara - Ventiseri Airport
SPC,GCLA,La Palma Airport
SPD,VGSD,Saidpur Airport
SPI,KSPI,Abraham Lincoln Capital Airport
SPN,PGSN,Obyan Intl
SPP,FNME,Menongue
SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base
SPU,LDSP,Airport Split-Kastela
SPY,DISP,San Pedro
SQH,VVNS,Na San Airport
SQO,ESUD,Storuman
SRD,SLRA,San Ramon
SRE,SLSU,Juana Azurduy De Padilla
SRG,WIIS,Achmad Yani Airport
SRH,FTTA,Sarh
SRI,WRLS,Temindung Airport
SRJ,SLSB,Capitan German Quiroga Guardi*
SRN,YSRN,Strahan Airport
SRP,ENSO,"Stord Airport, Sorstokken"
SRQ,KSRQ,Sarasota-Bradenton Intl Airport
SRT,HUSO,Soroti
SRY,OINZ,Dasht-E-Naz Airport
SRZ,SLET,El Trompillo
SSA,SBSV,Deputado Luis Eduardo Magalhaes Intl Airport
SSD,SCSF,Victor Lafon
SSE,VASL,Sholapur Airport
SSG,FGSL,Malabo Airport
SSH,HESH,Sharm El Sheikh Intl Airport
SSJ,ENST,Sandnessjoen Airport
SSN,RKSM,Seoul Ab
SSQ,CSR8,La Sarre
SSY,FNBC,M'banza Congo
STA,EKVJ,Stauning Airport
STC,KSTC,St. Cloud Regional Airport
STD,SVSO,Mayor Buenaventura Vivas Intl
STI,MDST,Cibao Intl Airport
STL,KSTL,Lambert-St. Louis Intl Airport
STM,SBSN,Santarem Airport
STN,EGSS,London Stansted Airport
STR,EDDS,Stuttgart
STT,TIST,King
STV,VASU,Surat Airport
STW,URMT,Shpakovskoye Airport
STX,TISX,Henry E Rohlsen
STY,SUSO,Salto Nueva Hesperides Intl
SUB,WRSJ,Juanda Airport
SUF,LICA,Lamezia Terme Intl Airport
SUG,RPMS,Surigao Airport
SUI,UGSS,Babushara Airport
SUJ,LRSM,Satu Mare Intl Airport
SUL,OPSU,Sui Airport
SUN,KSUN,Friedman Memorial Airport
SUQ,SESC,Sucua
SUR,CJV7,Summer Beaver
SUT,HTSU,Sumbawanga
SUV,NFNA,Nausori Intl
SUX,KSUX,Sioux Gateway Airport (Col. Bud Day Field)
SVB,FMNS,Sambava South
SVD,TVSV,E T Joshua
SVG,ENZV,"Stavanger Airport, Sola"
SVI,SKSV,San Vicente Del Caguan
SVJ,ENSH,Svolvae Airport
SVL,EFSA,Savonlinna Airport
SVO,UUEE,Sheremetyevo Intl Airport
SVP,FNKU,Bie
SVQ,LEZL,Seville Airport
SVX,USSS,Koltsovo Intl Airport
SWA,ZGOW,Shantou Airport
SWC,YSWL,Stawell Airport
SWF,KSWF,Stewart Intl Airport
SWH,YSWH,Swan Hill Airport
SWP,FYSM,Swakopmund
SWS,EGFH,Swansea Airport
SWU,RKSW,Suwon
SWX,FBSW,Shakawe
SXB,LFST,Strasbourg Airport
SXE,YWSL,West Sale Airport
SXF,EDDB,Berlin Schonefeld
SXG,FLSN,Senanga
SXI,OIBS,Sirri Island Airport
SXL,EISG,Sligo Airport
SXM,TNCM,Princess Juliana Intl Airport
SXR,VISR,Srinagar Airport (Mil./Civil)
SXU,HASD,Soddo
SXV,VOSM,Salem Airport
SXZ,LTCL,Siirt Airport
SYC,SPOV,Shiringayoc O Hda Mejia
SYD,YSSY,Sydney (Kingsford Smith) Intl Airport
SYE,OYSH,Saadah
SYJ,OIKY,Sirjan Airport
SYK,BIST,Stykkisholmur Airport
SYM,ZPSM,Simao Airport
SYO,RJSY,Shonai Airport
SYQ,MRPV,Tobias Bolanos Intl Airport
SYR,KSYR,Syracuse Hancock Intl Airport
SYW,OPSN,Sehwan Sharif Airport
SYX,ZGSY,Sanya Fenghuang Intl Airport
SYY,EGPO,Stornoway Airport
SYZ,OISS,Shiraz Intl Airport
SZA,FNSO,Soyo
SZB,WMSA,Sultan Abdul Aziz Shah-Subang
SZE,EGSY,Sheffield City Airport
SZF,LTFH,Samsun Carsamba Airport
SZG,LOWS,Salzburg
SZJ,MUSN,Siguanea Airport
SZK,FASZ,Skukuza
SZV,ZSSZ,Suzhou Guangfu Airport
SZW,EDOP,Schwerin - Parchim
SZX,ZGSZ,Shenzhen Bao'an Intl Airport
SZY,EPSY,Szczytno-Szymany Intl Airport
SZZ,EPSC,Szczecin-Goleniow Solidarnosc Airport
TAC,RPVA,Daniel Z. Romualdez Airport
TAE,RKTN,Taegu Aero
TAG,RPVT,Tagbilaran Airport
TAI,OYTZ,Ganed
TAK,RJOT,Takamatsu Airport
TAM,MMTM,General Francisco Javier Mina Intl Airport
TAO,ZSQD,Qingdao Liuting Intl Airport
TAP,MMTP,Tapachula Intl Airport
TAR,LIBG,Grottaglie Airport
TAS,UTTT,Tashkent Yuzhny
TAT,LZTT,Tatry Airport
TAW,SUTB,Tacuarembo
TAY,EETU,Tartu Airport
TBB,VVTH,Dong Tac Airport
TBH,RPVU,Tugdan Airport
TBJ,DTKA,Tabarka 7 Novembre
TBO,HTTB,Tabora
TBP,SPME,Pedro Canga
TBS,UGGG,Lochini
TBS,UGGG,Tbilisi Intl Airport
TBU,NFTF,Fua'amotu Intl
TBY,FBTS,Tshabong
TBZ,OITT,Tabriz Intl Airport
TCA,YTNK,Tennant Creek Airport
TCB,MYAT,Treasure Cay Airport
TCE,LRTC,Tulcea Airport
TCH,FOOT,Tchibanga
TCO,SKCO,La Florida
TCP,HETB,Taba Intl Airport
TCQ,SPTN,Col Carlos Ciriani Santa Rosa
TCR,VO80,Tuticorin Airport
TCX,OIMT,Tabas Airport
TDA,SKTD,Trinidad
TDD,SLTR,Jorge Henrich Arauz
TDG,RPMW,Tandag Airport
TDV,FMSN,Samangoky
TEA,MHTE,Tela
TED,EKTS,Thisted Airport
TEE,DABS,Tebessa - Cheikh Larbi Tebessi Airport
TEG,DFET,Tenkodogo
TEI,VETJ,Tezu Airport
TEM,YTEM,Temora Airport
TEQ,LTBU,Corlu Airport
TET,FQTT,Chingozi
TEX,KTEX,Telluride Regional Airport
TEY,BITE,Pingeyri Airport
TEZ,VETZ,Tezpur Airport (Mil./Civil)
TFN,GCXO,Tenerife Los Rodeos Airport
TFS,GCTS,Tenerife Reina Sofia Airport
TGD,LYPG,Podgorica-Golubovci
TGG,WMKN,Sultan Mahmud
TGI,SPGM,Tingo Maria
TGM,LRTM,Targu Mures Intl Airport
TGO,ZBTL,Tongliao Airport
TGR,DAUK,Touggourt - Sidi Mahdi Airport
TGT,HTTG,Tanga
TGU,MHTG,Toncontin Intl
TGZ,MMTG,Llano San Juan Airport
THC,GLTN,Tchien
THE,SBTE,Senador Petronio Portella Airport
THG,YTNG,Thangool Airport
THI,GQNC,Tichit
THK,VLTK,Thakhek
THL,VYTL,Tachilek
THN,ESGT,Trollhattan - Vanersborg
THO,BITH,Sauoanes Airport
THR,OIII,Mehrabad Intl Airport
THS,VTPO,Sukhothai Airport
THT,GQNT,Tamchakett
THU,BGTL,Thule Air Base
THZ,DRRT,Tahoua
TIA,LATI,Tirana Intl Airport Mother Teresa
TIB,SKTB,Tibu
TID,DAOB,Tiaret - Bou Chekif Airport
TIE,HATP,Tippi
TIF,OETF,Taif Regional Airport
TIJ,MMTJ,General Abelardo L. Rodriguez Intl Airport
TIP,HLLT,Tripoli International Airport
TIR,VOTP,Tirupati Airport
TIU,NZTU,Timaru
TIV,LYTV,Tivat Airport
TIY,GQND,Tidjikja
TJA,SLTJ,Capt Oriel Lea Plaza
TKC,FKKC,Tiko
TKD,DGTK,Takoradi
TKG,WIIT,Radin Inten II Airport
TKK,PTKK,Chuuk Intl
TKN,RJKN,Tokunoshima Airport
TKQ,HTKA,Kigoma
TKR,VGSG,Thakuragaon Airport
TKT,VTPT,Tak Airport
TKU,EFTU,Turku Airport
TLB,OPTA,Tarbela Dam Airport
TLC,MMTO,Lic. Adolfo Lopez Mateos Intl Airport
TLD,FBTL,Tuli Block
TLE,FMST,Toliara
TLH,KTLH,Tallahassee Regional Airport
TLL,EETN,Tallinn Airport
TLM,DAON,Tlemcen - Zenata - Messali El Hadj Airport
TLS,LFBO,Toulouse - Blagnac Airport
TLV,LLBG,Ben Gurion Intl Airport
TLX,SCTL,Panguilemo
TMD,GQNH,Timbedra
TME,SKTM,Tame
TMI,VNTR,Tumlingtar
TMJ,UTST,Termez
TML,DGLE,Tamale
TMM,FMMT,Toamasina
TMO,SVTM,Tumeremo
TMP,EFTP,Tampere-Pirkkala Airport
TMR,DAAT,Tamanrasset - Aguenar Airport
TMS,FPST,Sao Tom
TMU,MRTR,Tambor Airport
TMW,YSTW,Tamworth Airport
TMX,DAUT,Timimoun Airport
TMZ,NZTH,Thames
TNA,ZSJN,Jinan Yaoqiang Airport
TND,MUTD,Alberto Delgado Airport
TNE,RJFG,Tanegashima Airport
TNF,LFPN,Toussus - le Noble Airport
TNG,GMTT,Ibn Batouta
TNH,ZYTN,Tonghua Liuhe Airport
TNJ,WIKN,Kijang Airport
TNO,MRTM,Tamarindo Airport
TNR,FMMI,Ivato
TNS,CBX5,Cantung
TOE,DTTZ,Nefta
TOJ,LETO,Madrid Torrejon Airport
TOL,KTOL,Toledo Express Airport
TOM,GATB,Tombouctou
TOQ,SCBE,Barriles
TOS,ENTC,Tromso Airport
TOU,NWWU,Touho
TOY,RJNT,Toyama Airport
TOZ,DITM,Mahana
TPA,KTPA,Tampa Intl Airport
TPC,SETR,Tarapoa
TPE,RCTP,Chiang Kai-shek Intl Airport
TPG,WMBI,Taiping
TPN,SETI,Tiputini
TPP,SPST,Cdte.Guillermo D Castillo Par.
TPQ,MMEP,Amado Nervo National Airport
TPS,LICT,Vincenzo Florio Airport (Birgi Airport)
TQS,SKTQ,Tres Esquinas
TRA,RORT,Tarama Airport
TRB,SKTU,Gonzalo Mejia
TRC,MMTC,Torreon Intl Airport
TRD,ENVA,Trondheim Airport
TRE,EGPU,Tiree Airport
TRF,ENTO,Sandefjord Airport
TRG,NZTG,Tauranga
TRI,KTRI,Tri-Cities Regional Airport
TRK,WRLR,Juwata Airport
TRN,LIMF,Torino Caselle Airport (Turin Intl Airport)
TRO,YTRE,Taree Airport
TRR,VCCT,China Bay AB
TRS,LIPQ,Friuli Venezia Giulia Airport (Trieste Ronchi dei Legionari
TRU,SPRU,Cap Carlos Martinez De Pinill
TRV,VOTV,Trivandrum Intl Airport
TRW,NGTA,Bonriki Intl
TRY,HUTO,Tororo
TRZ,VOTR,Tiruchirapalli (Trichy) Intl Airport
TSA,RCSS,Taipei Songshan Airport
TSB,FYTM,Tsumeb
TSC,SETH,Taisha
TSE,UACC,Astana
TSF,LIPH,Treviso Airport (Sant'Angelo Airport)
TSH,FZUK,Tshikapa
TSJ,RJDT,Tsushima Airport
TSN,ZBTJ,Tianjin Binhai Intl Airport
TSR,LRTR,Timisoara (Traian Vuia) Intl Airport
TST,VTST,Trang Airport
TSV,YBTL,Townsville Intl Airport
TTA,GMAT,Plage Blanche
TTB,LIET,Tortoli - Arbatax Airport
TTC,SCTT,Las Breas
TTH,OOTH,Thumrait AB
TTJ,RJOR,Tottori Airport
TTN,KTTN,Trenton-Mercer Airport
TTQ,MRAO,Tortuguero Airport
TTS,FMNT,Tsaratanana
TTU,GMTN,Sania Ramel
TUA,SETU,El Rosal-Tcrnel Mantilla
TUC,SANT,Benjamin Matienzo Intl Airport
TUD,GOTT,Tambacounda
TUF,LFOT,Tours - Val-de-Loire Airport
TUG,RPUT,Tuguegarao Airport
TUI,OETR,Turaif Domestic Airport
TUK,OPTU,Turbat Airport
TUL,KTUL,Tulsa Intl Airport
TUM,YTMU,Tumut Airport
TUN,DTTA,Carthage
TUO,NZAP,Taupo
TUP,KTUP,Tupelo Regional Airport (C.D. Lemons Field)
TUS,KTUS,Tucson Intl Airport
TUU,OETB,Tabuk Regional Airport
TUV,SVTC,Tucupita
TUX,CBX7,Tumbler Ridge
TVA,FMMR,Morafenobe
TVC,KTVC,Cherry Capital Airport
TVY,VYDW,Dawei
TWB,YTWB,Toowoomba Airport
TWF,KTWF,Magic Valley Regional Airport (Joslin Field)
TWU,WBKW,Tawau
TXK,KTXK,Texarkana Regional Airport (Webb Field)
TXL,EDDT,Berlin Tegel (Otto Lilienthal)
TXN,ZSTX,Huangshan Tunxi Intl Airport
TXU,DITB,Tabou
TYB,YTIB,Tibooburra Airport
TYF,ESST,Fryklanda
TYL,SPYL,Capitan Montes
TYM,MYES,Staniel Cay Airport
TYN,ZBYN,Taiyuan Wusu Airport
TYR,KTYR,Tyler Pounds Regional Airport
TYS,KTYS,McGhee Tyson Airport
TYT,SUTR,Treinta Y Tres
TZL,LQTZ,Tuzla Intl Airport
TZX,LTCG,Trabzon Airport
UAK,BGBW,Narssarssuaq Airport
UAQ,SANU,San Juan Airport
UAS,HKSB,Buffalo Spring
UBJ,RJDC,Yamaguchi Ube Airport
UBP,VTUU,Ubon Ratchathani Airport
UCN,GLBU,Buckanan
UCT,UUYH,Ukhta Airport
UDI,SBUL,Uberlandia Airport
UDJ,UKLU,Uzhhorod Airport
UDN,LIPD,Campoformido Airport
UDR,VAUD,Udaipur Airport
UEL,FQQL,Quelimane
UEO,ROKJ,Kumejima Airport
UET,OPQT,Quetta Intl Airport
UFA,UWUU,Ufa Airport
UGA,ZMBN,Bulgan
UGC,UTNU,Urgench
UGO,FNUG,Uige
UHE,LKKU,Kunovice Airport
UIB,SKUI,El Carano
UIH,VVPC,Phu Cat Airport
UIN,KUIN,Quincy Regional Airport (Baldwin Field)
UIO,SEQU,Mariscal Sucre Intl
UIP,LFRQ,Quimper - Cornouaille Airport
UIT,N55,Jaluit
UKB,RJBE,Kobe Airport
UKR,OYMK,Mukeiras
ULC,SCTI,Los Cerrillos
ULD,FAUL,Prince M.Buthelezi
ULI,TT02,Ulithi
ULN,ZMUB,Buyant-Ukhaa
ULP,YQLP,Quilpie Airport
ULQ,SKUL,Farfan
ULU,HUGU,Gulu
UMD,BGUM,Uummannaq Airport
UME,ESNU,Umea
UMI,SPIL,Quincemil
UND,OAUZ,Kunduz
UNE,FXQN,Qacha's Nek
UNI,TVSU,Union I. Intl
UNN,VTSR,Ranong Airport
UNV,KUNV,University Park Airport
UPG,WAAA,Hasanuddin Airport
UPL,MRUP,Upala Airport
UPN,MMPN,Lic. y Gen. Ignacio Lopez Rayon Airport
UPV,EGDJ,Upavon Airfield
URA,UARR,Uralsk
URC,ZWWW,Diwopu Airport
URE,EEKE,Kuressaare Airport
URM,SVUM,Uriman
URO,LFOP,Rouen - Vallee de Seine Airport
URT,VTSB,Surat Thani Airport
URY,OEGT,Gurayat Domestic Airport
USH,SAWH,Ushuaia Intl Airport
USM,VTSM,Samui Airport
USN,RKPU,Ulsan
USU,RPVV,Busuanga Airport (Coron Airport)
UTA,FVMU,Mutare
UTH,VTUD,Udon Thani Airport
UTN,FAUP,Upington
UTP,VTBU,U-Tapao Intl Airport
UTP,VTUD,Udon Thani Intl Airport
UTR,VTPU,Uttaradit Airport
UTT,FAUT,K.D. Matanzima
UTW,FAQT,Queenstown
UUD,UIUU,Mukhino Airport
UUN,ZMBU,Baruun-Urt
UUS,UHSS,Yuzhno-Sakhalinsk Airport
UVE,NWWV,Ouloup
UVF,TLPL,Hewanorra Intl
UVL,HEKG,El Kharga Airport
UYL,HSNL,Nyala
UYN,ZLYL,Yulin Airport
VAA,EFVA,Vaasa Airport
VAF,LFLU,Valence - Chabeuil Airport
VAH,SLVG,Vallegrande
VAN,LTCI,Van Ferit Melen Airport
VAR,LBWN,Varna Intl Airport
VAS,LTAR,Sivas Airport
VAT,FMMY,Vatomandry
VAV,NFTV,Vava'u
VAW,ENSS,Vardo Airport
VBS,LIPO,Montichiari Airport
VBY,ESSV,Visby
VCA,VVCT,Tra Noc Airport
VCE,LIPZ,Marco Polo Venice Airport
VCH,SUVO,Vichadero
VCP,SBKP,Viracopos Intl Airport
VCR,SVCO,Carora
VCS,VVCS,Co Ong Airport
VCT,KVCT,Victoria Regional Airport
VCV,KVCV,Southern California Logistics Airport
VDA,LLOV,Ovda Intl Airport
VDB,ENFG,Fagernes Airport
VDE,GCHI,El Hierro Airport
VDM,SAVV,Gobernador Castello Airport
VDP,SVVP,Valle De La Pascua
VDS,ENVD,Vadso Airport
VDZ,PAVD,Valdez Airport (Pioneer Field)
VER,MMVR,General Heriberto Jara Intl Airport
VEY,BIVM,Vestmannaeyjar Airport
VFA,FVFA,Victoria Falls
VGA,VOBZ,Vijayawada Airport
VGN,RPUQ,Mindoro Airport
VGO,LEVX,Vigo Airport
VGT,KVGT,North Las Vegas Airport
VGZ,SKVG,Villagarzon
VHC,FNSA,Saurimo
VHM,ESNV,Vilhelmina
VHY,LFLV,Vichy - Charmeil Airport
VIC,LIPT,Vicenza Trissino Airport
VIE,LOWW,Wien - Schwechat
VIG,SVVG,Juan Pablo Perez Alfonzo
VII,VVVH,Vinh Airport
VIJ,TUPW,Virgin Gorda
VIN,UKWW,Vinnytsia Airport
VIR,FAVG,Virginia
VIT,LEVT,Vitoria Airport
VIX,SBVT,Goiabeiras Airport
VKG,VVRG,Rach Gia Airport
VKO,UUWW,Vnukovo Airport
VLC,LEVC,Valencia Airport
VLD,KVLD,Valdosta Regional Airport
VLI,NVVV,Bauerfield
VLL,LEVD,Valladolid Airport
VLM,SLVM,Rafael Pabon
VLN,SVVA,Arturo Michelena Intl
VLR,SCLL,Vallenar
VLV,SVVL,Dr. Antonio Nicolas Briceno
VME,SAOR,Villa Reynolds Airport
VNA,VLSV,Saravane
VNE,LFRV,Vannes - Meucon Airport
VNS,VIBN,Lal Bahadur Shastri Intl Airport
VNX,FQVL,Vilankulu
VOG,URWW,Gumrak Airport
VOH,FMNV,Vohimarina
VOL,LGBL,Aghialos National Airport
VOZ,UUOO,Chertovitskoye Airport
VPS,KVPS,Okaloosa Regional Airport / Eglin Air Force Base
VPY,FQCH,Chimoio
VQS,TJVQ,Vieques Airport
VRA,MUVR,Juan Gualberto Gomez Intl Airport
VRC,RPUV,Virac Airport
VRE,FAVR,Vredendal
VRK,EFVR,Varkaus Airport
VRL,LPVR,Vila Real Airport
VRN,LIPX,Verona Airport ( Valerio Catullo)
VRO,MUKW,Kawama Airport
VRU,FAVB,Vryburg
VSA,MMVA,Carlos Rovirosa Perez Intl Airport
VSE,LPVZ,Viseu Airport
VST,ESOW,Hasslo
VTB,UMII,Vitebsk
VTE,VLVT,Wattay Intl
VTL,LFXC,Vittel - Auzainvilliers Airport
VTL,LFSZ,Vittel - Champ de Courses Airport
VTS,EVVA,Ventspils Intl Airport
VTU,MUVT,Hermanos Ameijeiras Airport
VTZ,VEVZ,Visakhapatnam Airport
VUP,SKVP,Alfonso Lopez
VVB,FMMH,Mahanoro
VVC,SKVV,Vanguardia
VVI,SLVR,Viru Viru Intl
VVK,ESSW,Vastervik
VVO,UHWW,Vladivostok Intl Airport
VXC,FQLC,Lichinga
VXE,GVSV,S. Pedro
VXO,ESMX,Kronoberg
VYD,FAVY,Vryheid
WAC,HAWC,Wacca
WAG,NZWU,Wanganui
WAI,FMNW,Ambalabe
WAK,FMSZ,Ankazoabo
WAM,FMMZ,Ambatondrazaka
WAQ,FMMG,Antsalova
WAT,EIWF,Waterford Airport
WAW,EPWA,Warsaw Frederic Chopin Airport
WBD,FMNF,Avaratra
WBO,FMSB,Antsoa
WCH,SCTN,Chaiten
WDH,FYWH,Hosea Kutako Intl
WEF,ZSWF,Weifang Airport
WEI,YBWP,Weipa Airport
WEL,FAWM,Welkom
WFI,FMSF,Fianarantsoa
WGA,YSWG,Wagga Wagga Airport
WGE,YWLG,Walgett Airport
WGT,YWGT,Wangaratta Airport
WHF,HSSW,Wadi Halfa
WHK,NZWK,Whakatane
WHS,EGEH,Whalsay Airport
WIC,EGPC,Wick Airport
WIL,HKNW,Wilson
WIN,YWTN,Winton Airport
WIR,NZWO,Wairoa
WJR,HKWJ,Waghala
WJU,RKNW,Wonju
WKA,NZWF,Wanaka
WKB,YWKB,Warracknabeal Airport
WKI,FVWT,Hwange Town
WKJ,RJCW,Wakkanai Airport
WLG,NZWN,Wellington Intl
WMA,FMNX,Mandritsara
WMD,FMSC,Mandabe
WME,YMNE,Mount Keith Airport
WML,FMMC,Malaimbandy
WMN,FMNR,Maroantsetra
WMR,FMNC,Avaratra
WNN,CKL3,Wunnumin Lake
WNP,RPUN,Naga Airport
WNR,YWDH,Windorah Airport
WNS,OPNH,Nawabshah Airport
WNZ,ZSWZ,Wenzhou Intl Airport
WOL,YWOL,Wollongong Airport
WPA,SCAS,Cabo Juan Roman
WPB,FMNG,Port Berge
WPC,CZPC,Pincher Creek
WPR,SCFM,Capitan Fuentes Martinez
WPU,SCGZ,Guardiamarina Zanartu
WRE,NZWR,Whangarei
WRO,EPWR,Copernicus Airport Wroclaw
WRY,EGEW,Westray Airport
WSZ,NZWS,Westport
WTA,FMMU,Tambohorano
WTS,FMMX,Tsiroanomandidy
WUH,ZHHH,Wuhan Tianhe Airport
WUN,YWLU,Wiluna Airport
WUS,ZSWY,Nanping Wuyishan Airport
WUU,HSWW,Wau
WUX,ZSWX,Wuxi Airport
WUZ,ZGWZ,Wuzhou Changzhoudao Airport
WVB,FYWB,Walvis Bay
WVK,FMSK,Manakara
WVN,EDWI,Wilhelmshaven-Mariensiel
WWA,YWWL,West Wyalong Airport
WWK,AYWK,Wewak Intl
WYA,YWHA,Whyalla Airport
WYE,GFYE,Yengema
XAB,LFOI,Abbeville - Buigny - Saint Maclou Airport
XBE,CNE3,Bearskin Lake
XBJ,OIMB,Birjand Airport
XBQ,LFOQ,Blois - Le Breuil Airport
XBR,CNL3,Brockville
XCH,YPXM,Christmas Island Airport
XCL,CJS3,Cluff Lake
XCM,CNZ3,Chatham
XFN,ZHXF,Xiangfan Airport
XFW,EDHI,Finkenwerder (Airbus)
XGA,DFOG,Amilcar Cabral De Gaoua
XGG,DFEG,Gorom-Gorom
XGN,FNXA,Xangongo
XGR,CYLU,Kangiqsualujjuaq Georges River
XIC,ZUXC,Xichang Qingshan Airport
XIY,ZLXY,Xi'an Xianyang Intl Airport
XJM,OPMA,Mangla Airport
XKA,DFEL,Kantchari
XKH,VLXK,Xieng Khouang
XKS,CYAQ,Kasabonika
XLB,CZWH,Lac Brochet
XLS,GOSS,St Louis
XMC,YMCO,Mallacoota Airport
XMI,HTMI,Masasi
XMN,ZSAM,Xiamen Gaoqi Intl Airport
XMP,CFC4,Macmillan Pass
XMS,SEMC,Macas
XNA,KXNA,Northwest Arkansas Regional Airport
XNN,ZLXN,Xining Airport
XNT,ZBXT,Xingtai Airport
XNU,DFON,Nouna
XPK,CZFG,Pukatawagan
XPP,CZNG,Poplar River
XQP,MRQP,La Managua Airport
XRR,CYDM,Ross River
XRY,LEJR,Jerez Airport
XSI,CZSN,South Indian Lake
XTG,YTGM,Thargomindah Airport
